feature,feature_index
std_dev angle LEFT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_126
mean angle NOSE-BASE_NECK-LEFT_FRONT_PAW,feature_127
std_dev angle NOSE-BASE_NECK-LEFT_FRONT_PAW,feature_128
mean angle NOSE-BASE_NECK-RIGHT_FRONT_PAW,feature_129
std_dev angle NOSE-BASE_NECK-RIGHT_FRONT_PAW,feature_130
mean angle RIGHT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_131
std_dev angle RIGHT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_132
mean angle RIGHT_REAR_PAW-BASE_TAIL-CENTER_SPINE,feature_133
std_dev angle RIGHT_REAR_PAW-BASE_TAIL-CENTER_SPINE,feature_134
mean angle RIGHT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_135
std_dev angle RIGHT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_136
max angular_velocity,feature_137
mean angular_velocity,feature_138
median angular_velocity,feature_139
min angular_velocity,feature_140
std_dev angular_velocity,feature_141
mean base tail velocity direction,feature_142
std_dev base tail velocity direction,feature_143
max base tail velocity magnitude,feature_144
mean base tail velocity magnitude,feature_145
median base tail velocity magnitude,feature_146
min base tail velocity magnitude,feature_147
std_dev base tail velocity magnitude,feature_148
mean bearing to corner,feature_149
std_dev bearing to corner,feature_150
mean centroid_velocity_dir,feature_151
std_dev centroid_velocity_dir,feature_152
max centroid_velocity_mag,feature_153
mean centroid_velocity_mag,feature_154
median centroid_velocity_mag,feature_155
min centroid_velocity_mag,feature_156
std_dev centroid_velocity_mag,feature_157
max distance to corner,feature_158
mean distance to corner,feature_159
median distance to corner,feature_160
min distance to corner,feature_161
std_dev distance to corner,feature_162
max distance to lixit,feature_163
mean distance to lixit,feature_164
median distance to lixit,feature_165
min distance to lixit,feature_166
std_dev distance to lixit,feature_167
mean left front paw velocity direction,feature_168
std_dev left front paw velocity direction,feature_169
max left front paw velocity magnitude,feature_170
mean left front paw velocity magnitude,feature_171
median left front paw velocity magnitude,feature_172
min left front paw velocity magnitude,feature_173
std_dev left front paw velocity magnitude,feature_174
mean nose velocity direction,feature_175
