feature,feature_index
std_dev LEFT_REAR_PAW speed,feature_541
max MID_TAIL speed,feature_542
mean MID_TAIL speed,feature_543
median MID_TAIL speed,feature_544
min MID_TAIL speed,feature_545
std_dev MID_TAIL speed,feature_546
max NOSE speed,feature_547
mean NOSE speed,feature_548
median NOSE speed,feature_549
min NOSE speed,feature_550
std_dev NOSE speed,feature_551
max RIGHT_EAR speed,feature_552
mean RIGHT_EAR speed,feature_553
median RIGHT_EAR speed,feature_554
min RIGHT_EAR speed,feature_555
std_dev RIGHT_EAR speed,feature_556
max RIGHT_FRONT_PAW speed,feature_557
mean RIGHT_FRONT_PAW speed,feature_558
median RIGHT_FRONT_PAW speed,feature_559
min RIGHT_FRONT_PAW speed,feature_560
std_dev RIGHT_FRONT_PAW speed,feature_561
max RIGHT_REAR_PAW speed,feature_562
mean RIGHT_REAR_PAW speed,feature_563
median RIGHT_REAR_PAW speed,feature_564
min RIGHT_REAR_PAW speed,feature_565
std_dev RIGHT_REAR_PAW speed,feature_566
max TIP_TAIL speed,feature_567
mean TIP_TAIL speed,feature_568
median TIP_TAIL speed,feature_569
min TIP_TAIL speed,feature_570
std_dev TIP_TAIL speed,feature_571
mean right front paw velocity direction,feature_572
std_dev right front paw velocity direction,feature_573
max right front paw velocity magnitude,feature_574
mean right front paw velocity magnitude,feature_575
median right front paw velocity magnitude,feature_576
min right front paw velocity magnitude,feature_577
std_dev right front paw velocity magnitude,feature_578
